"ID","category","fuel","scientific_name","states"
1,"Dead","1000-Hour",,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
2,"Dead","100-Hour",,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
3,"Dead","10-Hour",,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
4,"Dead","1-Hour",,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
5,"Tree","Acacia, Catclaw","Acacia greggii","AZ, NM, NV, TX, UT, CA"
6,"Tree","Acacia, Whitehorn","Acacia constricta","AZ, MD, NM, TX, VA"
7,"Shrub","Agave, Utah","Agave utahensis","AZ, NV, UT, CA"
8,"Tree","Alder, European","Alnus glutinosa","CT, DC, DE, IA, IL, IN, KS, MA, MI, MN, MO, NJ, NY, OH, PA, TN, VT, WI"
9,"Tree","Alder, Gray","Alnus incana","AK, AZ, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WV, WY, CA"
10,"Tree","Alder, Hazle","Alnus serrulata","AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV"
11,"Tree","Alder, Mountain","Alnus viridis ssp. crispa","AK, MA, ME, MI, MN, NC, NH, NY, PA, TN, VT, WI"
12,"Tree","Alder, Red","Alnus rubra","AK, ID, MT, OR, WA"
13,"Tree","Alder, Seaside","Alnus rhombifolia","ID, MT, NV, OR, WA, CA"
14,"Tree","Alder, Sitka","Alnus viridis ssp. sinuata","AK, ID, MT, OR, WA, WY"
15,"Tree","Alder, Speckled","Alnus incana ssp. rugosa","CT, IA, IL, IN, MA, MD, ME, MI, MN, ND, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV"
16,"Tree","Alder, Thinleaf","Alnus incana ssp. tenuifolia","AK, AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY, CA"
17,"Shrub","American Beautyberry","Callicarpa americana","AL, AR, FL, GA, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA"
18,"Tree","American Hornbeam","Carpinus caroliniana","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
19,"Tree","Ash, Black","Fraxinus nigra","CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, ND, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV"
20,"Tree","Ash, Carolina","Fraxinus caroliniana","AL, AR, FL, GA, LA, MS, NC, SC, TX, VA"
21,"Tree","Ash, Green","Fraxinus pennsylvanica","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY"
22,"Tree","Ash, Oregon","Fraxinus latifolia","OR, WA"
23,"Tree","Ash, Pumpkin","Fraxinus profunda","AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA"
24,"Tree","Ash, Singleleaf","Fraxinus anomala","AZ, CO, NM, NV, UT, WY, CA"
25,"Tree","Ash, Velvet","Fraxinus velutina","AZ, NM, NV, TX, UT, CA"
26,"Tree","Ash, White","Fraxinus americana","AL, AR, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
27,"Tree","Aspen, Bigtooth","Populus grandidentata","CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV"
28,"Tree","Aspen, Quaking","Populus tremuloides","AK, AR, AZ, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TX, UT, VA, VT, WA, WI, WV, WY, CA"
29,"Forb","Aster, Bigleaf","Eurybia macrophylla","CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
30,"Shrub","Azalea, Cascade","Rhododendron albiflorum","CO, ID, MT, OR, WA"
31,"Shrub","Azalea, Mountain","Rhododendron canescens","AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, OK, PA, SC, TN, TX"
32,"Shrub","Azalea, Smooth","Rhododendron arborescens","AL, GA, KY, MD, MS, NC, NY, PA, SC, TN, VA, WV"
33,"Shrub","Azalea, Swamp","Rhododendron viscosum","AL, AR, CT, DC, DE, FL, GA, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OK, PA, RI, SC, TN, TX, VA, VT, WV"
34,"shrub","Baccharis","Baccharis L","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, KS, LA, MA, MD, MS, NC, NJ, NM, NV, NY, OK, OR ,PA, RI, SC, TX, UT, VA, PR, VI"
