"ID","date_created","fuel_model","fuel_loading","slope","aspect","default_end_month","default_beg_month","remarks","raws_id","gacc","state","active","jurisdiction","lat","raws","elevation","site","lng","grup"
1,"2006-01-01",,"0","0",,"12","01",,"JSPU1","EGBC","UT","0","BLM","38-01-25","Jensen Spring","5680","Jensen Springs","113-32-30","Cedar City Field Office"
2,"2006-01-01","T","0","3","NE","12","01","Collection sitye is a mix of grass, sage brush, pinyon pine and juniper.",,"EGBC","UT","0","BLM","39-39-27","NONE","6130","Consumers","110-54-20","Moab Field Office"
3,"2006-01-01",,"0","0","W","12","01",,"BIVU1","EGBC","UT","0","BLM","38-13-17","Big Indian Valley","6960","Big Indian","109-16-25","Moab Field Office"
4,"2006-01-01","F","0","0","SW","12","01",,"KAGU1","EGBC","UT","0","BLM","37-31-21","Kane Gulch","6600","Kane Gulch","109-53-22","Moab Field Office"
5,"2006-01-01",,"0","0","SW","12","01",,"BCRU1","EGBC","UT","0","BLM","39-17-22","Bryson Canyon","5320","Bryson","109-14-08","Moab Field Office"
6,"2006-01-01",,"0","0",,"12","05",,"BRPU1","EGBC","UT","0","BLM","39-36-21","Bruin Point","10200","Bruin","110-17-24","Moab Field Office"
7,"2006-01-01",,"0","0",,"12","01",,"TVWU1","EGBC","UT","0","BLM","39-21-00","Tule Valley","5200","Tule Valley","113-22-00","Fillmore Field Office"
8,"2006-01-01",,"0","0",,"12","01",,"BKCU1","EGBC","UT","0","BLM","38-58-45","Black Cedar","6480","Black Cedar","112-14-22","Fillmore Field Office"
9,"2006-01-01",,"0","0",,"12","01",,"MSRU1","EGBC","UT","0","BLM","39-47-55","Mud Spring","5670","Mud Springs","112-16-20","Fillmore Field Office"
10,"2006-01-01",,"0","0",,"12","01",,"SIGU1","EGBC","UT","0","USFS","38-37-55","Signal Peak","8750","Signal Peak","112-03-40","Fishlake NF"
11,"2006-01-01",,"0","0",,"12","01",,"HOHU1","EGBC","UT","0","BLM","38-39-50","Horse Hollow","6010","Horse Hollow","112-41-00","Fillmore Field Office"
12,"2006-01-01",,"0","0",,"12","01",,"SBWU1","EGBC","UT","0","BLM","39-35-00","Sevier Reservoir","5330","Sevier Reservoir","112-00-00","Fillmore Field Office"
13,"2006-01-01",,"0","0",,"12","01",,"LSCU1","EGBC","UT","0","USFS","38-46-15","Lost Creek","7490","Lost Creek","111-51-45","Richfield Field Office"
14,"2006-01-01",,"0","0",,"12","01",,"SIGU1","EGBC","UT","0","BLM","38-34-47","Signal Peak","7000","Shingle Creek","112-27-51","Fillmore Field Office"
15,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","BLM","40-37-41","NONE","4770","Muskrat","112-40-19","Salt Lake Field Office"
16,"2006-01-01",,"0","0",,"12","01",,"VENU1","EGBC","UT","0","BLM","40-03-38","Vernon","5640","Vernon","112-19-31","Salt Lake Field Office"
17,"2006-01-01",,"0","0",,"12","01",,"MCKU1","EGBC","UT","0","BLM","39-23-00","McCook Ridge","6700","McCook","109-09-00","Vernal Field Office"
18,"2006-01-01",,"0","0",,"12","01",,"DIAU1","EGBC","UT","0","BLM","40-24-00","Diamond Rim","7720","Diamond","109-09-00","Vernal Field Office"
19,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","BLM","37-23-44","NONE","5000","Ash Creek","113-15-50","Cedar City Field Office"
20,"2006-01-01",,"0","0",,"12","01","Nad 83 used for coordinates",,"EGBC","UT","0","USFS","40-34-22","NONE","5465","Little Cottonwood","111-46-28","Wasatch-Cache NF"
21,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","41-22-13","NONE","5588","North Fork","111-54-19","Wasatch-Cache NF"
22,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","40-18-04","NONE","6688","Squaw Peak","111-37-30","Uinta NF"
23,"2006-01-01",,"0","0","S","12","01",,"PGRU1","EGBC","UT","0","USFS","40-09-18","Pleasant Grove","4941","Hobble Creek","111-32-26","Uinta NF"
24,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","40-07-66","NONE","5389","Maple Canyon","111-31-58","Uinta NF"
25,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","BLM","38-07-51","NONE","6900","Horse Valley","112-16-09","Cedar City Field Office"
26,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","BLM","37-78-25","NONE","7300","South Canyon","112-41-30","Cedar City Field Office"
27,"2006-01-01",,"0","0",,"12","01",,"RSBU1","EGBC","UT","0","BLM","41-32-08","Rosebud","5682","Rosebud","113-41-24","Salt Lake Field Office"
28,"2006-01-01",,"0","0",,"12","01",,"OTRU1","EGBC","UT","0","BLM","41-45-12","Otter Creek","7160","Randolph","111-16-50","Salt Lake Field Office"
29,"2006-01-01",,"0","10",,"12","01","This site is tied to the Carpenter Ridge RAWS (Colorado) on the Manti-La Sal NF",,"EGBC","UT","0","USFS","38-27-34","NONE","8088","Carpenter Ridge","109-02-49","Manti-La Sal NF"
30,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","38-29-01","NONE","0","Geyser Pass","109-18-58","Manti-La Sal NF"
31,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","00-00-00","NONE","0","Six Mile Canyon","000-00-00","Manti-La Sal NF"
32,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","00-00-00","NONE","0","Whispering Pines - San Pitch","000-00-00","Manti-La Sal NF"
33,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","00-00-00","NONE","0","Jungle","000-00-00","Manti-La Sal NF"
34,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","37-39-45","NONE","8490","Kigalia","109-49-50","Manti-La Sal NF"
35,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","37-52-22","NONE","8740","North Creek","109-26-46","Manti-La Sal NF"
36,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","00-00-00","NONE","0","Pond Town","000-00-00","Manti-La Sal NF"
37,"2006-01-01",,"0","0",,"12","01",,"LARU1","EGBC","UT","0","USFS","38-00-57","Larb Hollow","8490","Larb Hollow","111-19-13","Fishlake NF"
38,"2006-01-01",,"0","0",,"12","01","Large live fuels sampled (3-5"" Diam tree trunks)",,"EGBC","UT","0","USFS","41-27-50","NONE","8892","Monte Cristo","111-29-55","Wasatch-Cache NF"
39,"2006-01-01",,"0","0",,"12","01","1,000-hr fuel moisture values are taken from dead and down Lodgepole Pine.","NWYUI","EGBC","UT","0","USFS","40-36-06","Norway","8280","Norway Flats","111-03-07","Uinta NF"
40,"2006-01-01",,"0","0",,"12","01",,,"EGBC","UT","0","USFS","37-32-42","NONE","7939","Asay","112-34-31","Dixie NF"
41,"2011-06-27","G","0","0",,"10","04","Samples taken off of the Trappers Lake road, just north of the Wanless. T59N 8W Sec 3.

Dead fuel samples are from conifer only.","ISAM5","EACC","MN","0","USFS","47-37-18","Isabella","1940","Trappers","091-20-05","Chippewa-Superior NF"
42,"2006-01-01",,"0","0",,"12","01",,"QTWA3","EGBC","AZ","0","BLM","36-37-28","Tweeds Point","4600","Tweedy","113-41-31","Arizona Strip District"
43,"2006-01-01",,"0","0",,"12","01",,"QNFA3","EGBC","AZ","0","BLM","36-21-11","Nixon Flats","6500","Nixon","113-09-29","Arizona Strip District"
44,"2006-01-01",,"0","0",,"12","01",,"QYJA3","EGBC","AZ","0","BLM","36-09-15","Yellow John Mountain","6160","Yellow John","113-32-30","Arizona Strip District"
45,"2006-01-01",,"0","0",,"12","01",,"QBRA3","EGBC","AZ","0","BLM","36-42-00","Black Rock","7080","Blackrock","113-42-00","Arizona Strip District"
46,"2006-01-01","G","0","0","SE","10","05",,,"EGBC","WY","0","NPS","43-38-23","NONE","6500","Whitegrass Ranch","110-45-58","Grand Teton NP"
47,"2006-01-01","G","0","40","SE","10","05",,"GTGW4","EGBC","WY","0","NPS","43-42-26","Grand Teton","6570","Timbered Island","110-43-08","Grand Teton NP"
48,"2006-01-01","T","0","0",,"10","05",,,"EGBC","WY","0","NPS","43-44-55","NONE","6770","Lost Creek, WY","110-37-24","Grand Teton NP"
49,"2006-01-01","G","0","40","SW","10","05",,,"EGBC","WY","0","NPS","43-50-19","NONE","6800","Moran","110-30-06","Grand Teton NP"
50,"2006-01-01","G","0","0",,"10","05",,,"EGBC","WY","0","NPS","44-06-36","NONE","6850","Flagg Ranch","110-41-05","Grand Teton NP"
51,"2006-01-01",,"0","0",,"12","01",,"DEAI1","EGBC","ID","0","BLM","43-52-14","Dead Indian Ridge","2593","Wild West","116-46-39","Boise FO"
52,"2006-01-01","T","0","0",,"10","05",,,"EGBC","WY","0","NPS","43-49-15","NONE","6960","RKO Road","110-35-25","Grand Teton NP"
53,"2006-01-01","G","0","30","N","10","05",,,"EGBC","WY","0","NPS","43-51-05","NONE","7600","Signal Mountain","110-33-51","Grand Teton NP"
54,"2006-01-01",,"0","0",,"12","01",,"MTHI1","EGBC","ID","0","BLM","43-26-32","Mountain Home","3060","Kuna","116-26-07","Boise FO"
55,"2006-01-01",,"0","0","S","12","01",,"MTHI1","EGBC","ID","0","BLM","42-58-02","Mountain Home","2706","Hammett","115-27-25","Boise FO"
56,"2006-01-01",,"0","0",,"11","04",,"OHOI1","EGBC","ID","0","BLM","43-35-23","Ohio Gulch","6000","Ohio Gulch","114-17-59","Twin Falls FO"
57,"2006-01-01",,"0","0",,"11","04",,,"EGBC","ID","0","BLM","43-16-50","NONE","5000","Rye Grass Flat","114-18-32","Twin Falls FO"
58,"2006-01-01",,"0","0","S","11","04","6-29-2011 2011 fine fuel loading Annual - 2.9 tons per acre and Perenial - 3.4 tons per acre","ROCI1","EGBC","ID","0","BLM","42-52-37","Rock Lake","4050","Notch Butte","114-26-10","Twin Falls FO"
59,"2006-01-01",,"0","0",,"11","04",,"BULI1","EGBC","ID","0","BLM","42-11-17","Bull Spring","5300","Shoshone Basin","114-29-32","Twin Falls FO"
60,"2006-01-01",,"0","0","S","11","04","6-29-2011 2011 fine fuel loading Annual - 2.1 tons per acre and Perenial - 1.5 tons per acre","GSKI1","EGBC","ID","0","BLM","42-12-54","Goose Creek","5100","Goose Creek","113-57-52","Twin Falls FO"
61,"2008-07-14","H","0","10","S","10","05",,"LPFC2","RMCC","CO","0","USFS","39-15-09","Lodge Pole Flats","9914","D01_Turquoise_Lake","106-21-31","San Isabel NF"
62,"2006-01-01",,"0","0",,"12","01","6-29-2011 2011 fine Fuel Loading: Annual Grass - 1.32 tons per acre, Perennial 2.6 tons per acre","HBFI1","EGBC","ID","0","BLM","42-28-51","Horse Butte","4300","Balanced Rock","115-00-09","Twin Falls FO"
63,"2006-01-01",,"0","0",,"11","04",,"TWBI1","EGBC","ID","0","BLM","42-57-22","Twin Buttes","2900","Three Island","115-14-05","Twin Falls FO"
64,"2006-01-01",,"0","0",,"11","04",,,"EGBC","ID","0","BLM","42-18-44","NONE","5300","Jim Sage","113-26-22","Twin Falls FO"
65,"2006-01-01","C","0","0",,"12","01",,"WEFI1","EGBC","ID","0","USFS","44-50-51","Weiser River","3900","Weiser River","116-25-36","Payette NF"
66,"2006-01-01","G","0","0",,"12","01",,,"EGBC","ID","0","USFS","44-54-40","NONE","5020","McCall","116-05-52","Payette NF"
67,"2006-01-01","U","0","25","NE","12","01",,"LDOI1","EGBC","ID","0","BLM","44-56-06","Leadore Creek","6315","McDevitt","113-46-33","Salmon FO"
68,"2006-01-01","T","0","10","SW","12","01",,"SMYI1","EGBC","ID","0","BLM","45-06-33","Salmon","4353","Sunset Heights","113-51-01","Salmon FO"
69,"2006-01-01","T","1","45","SW","12","01","Live fuel moisture data will be collected every two weeks.","MYFI1","EGBC","ID","0","BLM","43-32-22","Moody","5082","Idaho Falls","111-54-14","Idaho Falls District"
70,"2006-01-01","T","2","5","S","12","01","Live fuel moisture data will be collected every two weeks. Annual Fine Fuel Load (tons per acre) 2014:0.34, 2015:0.36, 2016:0.36, 2017:0.57, 2018:0.62, 2019:0.45, 2020:0.47, 2021:0.58 (Avg.: 0.47).","GASI1","EGBC","ID","0","BLM","44-04-01","Gas Caves","4901","Dubois","112-14-02","Idaho Falls District"
71,"2006-01-01","T","2","0","W","12","01","2015 Fine Fuel Loading: Total=1.43 tonsPERacre. 2014 Fine Fuel Loading: Total = 0.29 tonsPERacre.

2013 Fine Fuel Loading: Total = 0.41 tonsPERacre.","SCTI1","EGBC","ID","0","BLM","42-50-00","Scout Mountain","4500","Pocatello","112-24-18","Idaho Falls District"
72,"2006-01-01","T","2","0","SW","12","01","2015 Fine Fuel Loading: Total=2.81 tonsPERacre. 2014 Fine Fuel Loading: Total = 0.84 tonsPERacre. 

2013 Fine Fuel Loading: Total = 0.24 tonsPERacre.","GRAI1","EGBC","ID","0","BLM","42-44-33","Grace","6210","Soda Hills","111-47-32","Idaho Falls District"
73,"2006-01-01","T","2","30","SE","12","01",,"WYNI1","EGBC","ID","0","BLM","43-15-12","Wayan","6600","Sellers Creek","111-48-28","Idaho Falls District"
74,"2006-01-01","G","0","0","S","12","01",,"SFFI1","EGBC","ID","0","USFS","44-56-37","Ski Hill","5600","Skihill","116-11-16","Payette NF"
75,"2006-01-01",,"0","0",,"12","01",,"BEUU1","EGBC","UT","0","USFS","41-10-36","Beus Canyon","5075","Beus","111-55-47","Wasatch-Cache NF"
76,"2007-04-17",,"0","1","NE","12","01",,"QGRA3","SWCC","AZ","0","USFS","34-02-01","Greer","8280","ASF Greer","109-27-08","USFS - Apache-Sitgreaves NF"
77,"2007-04-17",,"0","5","W","12","01",,"QHEA3","SWCC","AZ","0","USFS","34-20-40","Heber","7598","ASF Larson","110-49-59","USFS - Apache-Sitgreaves NF"
